ID,Year,Country name,Latitude,Longitude,Start date,End date,Type,regions,Cause,References,Fatalities,"Losses (mln EUR, 2020)"
1453,1979,Switzerland,47.0505452,8.3054682,01.06.1979,02.06.1979,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall,Rothlisberger (1991),None,57
1453,1979,Switzerland,46.942756,8.4119773,01.06.1979,02.06.1979,Flash,"[(46.942756, 8.4119773)]",Extreme rainfall,Rothlisberger (1991),None,57
6017,1981,Switzerland,47.412396,8.1948321,10.07.1981,12.07.1981,River,"[(47.412396, 8.1948321)]",Heavy rainfall,Zeller and Röthlisberger (1982),None,7
1454,1984,Switzerland,46.8382351,7.6004502,24.07.1984,25.07.1984,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.5579097,7.5927728,24.07.1984,25.07.1984,Flash,"[(47.5579097, 7.5927728)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.3744489,8.5410422,24.07.1984,25.07.1984,Flash,"[(47.3744489, 8.5410422)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.6960491,8.634513,24.07.1984,25.07.1984,Flash,"[(47.6960491, 8.634513)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.3960076,9.3705839,24.07.1984,25.07.1984,Flash,"[(47.3960076, 9.3705839)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.3007262,9.3991527,24.07.1984,25.07.1984,Flash,"[(47.3007262, 9.3991527)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.425618,9.3762397,24.07.1984,25.07.1984,Flash,"[(47.425618, 9.3762397)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,47.0505452,8.3054682,24.07.1984,25.07.1984,Flash,"[(47.0505452, 8.3054682)]",Extreme rainfall,Rothlisberger (1991),None,68
1454,1984,Switzerland,46.942756,8.4119773,24.07.1984,25.07.1984,Flash,"[(46.942756, 8.4119773)]",Extreme rainfall,Rothlisberger (1991),None,68
