ID,Year,Country name,Start date,End date,Type,Regions affected (v2021),Cause,References
1453,1979,Switzerland,1979-06-01,1979-06-02,Flash,"[(47.0505452, 8.3054682), (46.942756, 8.4119773)]",Extreme rainfall,Rothlisberger (1991)
6017,1981,Switzerland,1981-07-10,1981-07-12,River,"[(47.412396, 8.1948321)]",Heavy rainfall,Zeller and Röthlisberger (1982)
1454,1984,Switzerland,1984-07-24,1984-07-25,Flash,"[(46.8382351, 7.6004502), (47.5579097, 7.5927728), (47.3744489, 8.5410422), (47.6960491, 8.634513), (47.3960076, 9.3705839), (47.3007262, 9.3991527), (47.425618, 9.3762397), (47.0505452, 8.3054682), (46.942756, 8.4119773)]",Extreme rainfall,Rothlisberger (1991)
1455,1985,Switzerland,1985-07-04,1985-07-05,Flash,"[(46.8382351, 7.6004502), (46.6789116, 7.1027113)]",Extreme rainfall,Rothlisberger (1991)
6019,1986,Switzerland,1986-05-23,1986-05-24,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall,Sturmarchiv Schweiz (2022)
1456,1986,Switzerland,1986-06-16,1986-06-23,River,"[(46.8382351, 7.6004502), (47.31874, 7.6698284), (47.412396, 8.1948321), (47.3744489, 8.5410422), (47.0505452, 8.3054682), (47.1486137, 8.5539378)]",Heavy rainfall,Hilker et al. (2009); Rothlisberger (1991)
1457,1987,Switzerland,1987-07-01,1987-07-08,River,"[(46.8382351, 7.6004502), (47.6960491, 8.634513), (46.6960615, 9.6027351), (47.0571976, 8.7222073)]",Heavy rainfall,CRED (2023); Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991)
1458,1987,Switzerland,1987-07-14,1987-07-19,River,"[(46.2303063, 7.6605757), (46.8382351, 7.6004502), (46.6960615, 9.6027351), (46.3351913, 8.7525902)]",Heavy rainfall,CRED (2023); Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991)
1459,1987,Switzerland,1987-08-24,1987-08-25,Flash,"[(46.2303063, 7.6605757), (46.7864413, 8.6420159), (46.3351913, 8.7525902)]",Extreme rainfall,Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991); Thomas (1988a)
1460,1988,Switzerland,1988-06-11,1988-06-16,Flash,"[(46.8382351, 7.6004502), (46.783362499999996, 5.783285726354901), (47.0505452, 8.3054682)]",Extreme rainfall (3 series),Hilker et al. (2009); Rothlisberger (1991)
1461,1990,Switzerland,1990-07-29,1990-07-29,Flash,"[(46.8382351, 7.6004502)]",Extreme rainfall up to 500 mm in 4 h,Munich Re (2017); PLANAT (2011)
6029,1993,Switzerland,1993-07-16,1993-07-17,Flash,"[(47.412396, 8.1948321)]",Extreme rainfall up to 50 mm in 1 h,Sturmarchiv Schweiz (2022)
1462,1993,Switzerland,1993-09-23,1993-10-14,River,"[(46.2303063, 7.6605757), (46.3351913, 8.7525902)]","Heavy rainfall, more than 100 mm/day",Barredo (2007); Brakenridge (2022); Stucki et al. (2013); Hilker et al. (2009); Sturmarchiv Schweiz (2022)
