id,MONTH,YEAR,LATITUDE,LONGITUDE,PRECIPITATION,No_Smoothing,Lowess(5)
99,197901,1979,45.83319,6.99776,88.7,0.16,0.16
100,197901,1979,45.84178,7.31894,65.0,0.16,0.16
101,197901,1979,45.8494,7.64021,85.8,0.16,0.16
102,197901,1979,45.85606,7.96156,93.39999999999999,0.16,0.16
103,197901,1979,45.86814,9.24811,73.6,0.16,0.16
104,197901,1979,45.86874,8.92559,70.5,0.16,0.16
105,197901,1979,46.02644,6.01836,130.8,0.16,0.16
106,197901,1979,46.04858,6.66286,111.1,0.16,0.16
107,197901,1979,46.05819,6.98528,86.2,0.16,0.16
108,197901,1979,46.06682,7.30779,73.7,0.16,0.16
109,197901,1979,46.07448,7.6304,66.3,0.16,0.16
110,197901,1979,46.08116,7.95308,100.0,0.16,0.16
111,197901,1979,46.08687,8.27583,68.39999999999999,0.16,0.16
112,197901,1979,46.09494,8.92544,77.6,0.16,0.16
113,197901,1979,46.09638,8.58469,72.0,0.16,0.16
114,197901,1979,46.10113,9.23792,77.3,0.16,0.16
115,197901,1979,46.25144,6.00029,129.6,0.16,0.16
116,197901,1979,46.25152,6.33557,122.7,0.16,0.16
117,197901,1979,46.2735,6.64891,108.0,0.16,0.16
118,197901,1979,46.28289,6.97299,86.8,0.16,0.16
119,197901,1979,46.29183,7.29652,77.3,0.16,0.16
120,197901,1979,46.29953,7.62048,75.7,0.16,0.16
121,197901,1979,46.30624,7.94451,97.3,0.16,0.16
122,197901,1979,46.31198,8.26861,100.7,0.16,0.16
123,197901,1979,46.31673,8.59276,70.4,0.16,0.16
124,197901,1979,46.3205,8.91696,76.1,0.16,0.16
125,197901,1979,46.32329,9.2412,76.5,0.16,0.16
126,197901,1979,46.3251,9.56547,77.3,0.16,0.16
127,197901,1979,46.32576,10.21403,80.2,0.16,0.16
128,197901,1979,46.32592,9.88974,82.6,0.16,0.16
129,197901,1979,46.47603,5.98489,119.5,0.16,0.16
