,YEAR,LATITUDE,LONGITUDE,PRECIPITATION
0,1979,45.83319,6.99776,863.3
1,1979,45.84178,7.31894,814.5
2,1979,45.8494,7.64021,870.9
3,1979,45.85606,7.96156,937.1
4,1979,45.86814,9.24811,1181.0
5,1979,45.86874,8.92559,1165.0
6,1979,46.02644,6.01836,935.0
7,1979,46.04858,6.66286,905.5
8,1979,46.05819,6.98528,832.8
9,1979,46.06682,7.30779,771.6
10,1979,46.07448,7.6304,816.3
11,1979,46.08116,7.95308,925.5
12,1979,46.08687,8.27583,931.9
13,1979,46.09494,8.92544,1086.3
14,1979,46.09638,8.58469,1019.4
15,1979,46.10113,9.23792,1033.9
16,1979,46.25144,6.00029,894.6
17,1979,46.25152,6.33557,875.8
18,1979,46.2735,6.64891,880.0
19,1979,46.28289,6.97299,826.6
20,1979,46.29183,7.29652,741.1
21,1979,46.29953,7.62048,799.0
22,1979,46.30624,7.94451,905.3
23,1979,46.31198,8.26861,950.8
24,1979,46.31673,8.59276,983.1
25,1979,46.3205,8.91696,1029.4
26,1979,46.32329,9.2412,984.0
27,1979,46.3251,9.56547,912.7
28,1979,46.32576,10.21403,856.3
29,1979,46.32592,9.88974,855.6
30,1979,46.47603,5.98489,934.3
31,1979,46.50778,6.2883,858.6
32,1979,46.51673,6.97082,813.8
33,1979,46.51681,7.28513,810.0
34,1979,46.52454,7.61045,828.3
35,1979,46.53129,7.93584,895.8
36,1979,46.53456,6.64066,844.8
37,1979,46.53705,8.2613,947.1
38,1979,46.54183,8.58683,1001.5
39,1979,46.54562,8.9124,1045.4
40,1979,46.54842,9.238,977.5
41,1979,46.54976,10.54057,827.2
42,1979,46.55023,9.56363,926.6
43,1979,46.5509,10.21493,858.4
44,1979,46.55106,9.88928,905.9
45,1979,46.70077,5.96788,898.4
46,1979,46.71353,6.29425,831.2
47,1979,46.71743,6.61481,826.2
48,1979,46.73315,6.94607,777.3
49,1979,46.74177,7.27367,820.9
50,1979,46.7526,7.59435,837.9
51,1979,46.75935,7.92738,835.5
52,1979,46.76125,8.25429,913.9
53,1979,46.76689,8.58083,942.6
54,1979,46.7707,8.90778,935.1999999999999
55,1979,46.77352,9.23477,962.8
56,1979,46.77487,10.54287,910.8
57,1979,46.77534,9.56178,982.7
58,1979,46.77602,10.21584,1011.3
59,1979,46.77618,9.88881,963.9
60,1979,46.93727,6.27833,918.9
61,1979,46.94998,6.60302,844.5
62,1979,46.96392,7.26749,819.9
63,1979,46.97448,7.59006,816.2
64,1979,46.98129,7.91822,802.1
65,1979,46.98568,8.23908,880.6
66,1979,46.99292,6.92433,844.1
67,1979,46.99537,8.9035,968.4
68,1979,46.99859,9.23149,1009.3
69,1979,46.99995,10.54519,1143.8
70,1979,47.00042,9.55991,984.1
71,1979,47.0011,10.21676,1140.4
72,1979,47.00126,9.88833,1110.9
73,1979,47.00145,8.58394,911.1
74,1979,47.17286,6.59151,889.0
75,1979,47.18271,6.9208,868.3
76,1979,47.1942,7.25201,888.1
77,1979,47.1994,7.57969,866.0
78,1979,47.20625,7.90927,857.5
79,1979,47.2126,8.24111,933.6
