Code,Name,Coordinates
CH011,Vaud,"(46.6356963, 6.5320717)"
CH012,Valais / Wallis,"(46.2303063, 7.6605757)"
CH013,Genève,"(46.2017559, 6.1466014)"
CH021,Bern / Berne,"(46.8382351, 7.6004502)"
CH022,Fribourg / Freiburg,"(46.6789116, 7.1027113)"
CH023,Solothurn,"(47.31874, 7.6698284)"
CH024,Neuchâtel,"(46.9895828, 6.9292641)"
CH025,Jura,"(47.211567, 7.005484)"
CH031,Basel-Stadt,"(47.5579097, 7.5927728)"
CH032,Basel-Landschaft,"(47.5092938, 7.6588333)"
CH033,Aargau,"(47.412396, 8.1948321)"
CH040,Zürich,"(47.3744489, 8.5410422)"
CH051,Glarus,"(46.9796562, 9.108812)"
CH052,Schaffhausen,"(47.6960491, 8.634513)"
CH053,Appenzell Ausserrhoden,"(47.3960076, 9.3705839)"
CH054,Appenzell Innerrhoden,"(47.3007262, 9.3991527)"
CH055,St. Gallen,"(47.425618, 9.3762397)"
CH056,Graubünden / Grigioni / Grischun,"(46.6960615, 9.6027351)"
CH057,Thurgau,"(47.5859649, 9.1428769)"
CH061,Luzern,"(47.0505452, 8.3054682)"
CH062,Uri,"(46.7864413, 8.6420159)"
CH063,Schwyz,"(47.0571976, 8.7222073)"
CH064,Obwalden,"(46.8613857, 8.2067825)"
CH065,Nidwalden,"(46.942756, 8.4119773)"
CH066,Zug,"(47.1486137, 8.5539378)"
CH070,Ticino,"(46.3351913, 8.7525902)"
